score,mean_sharpe,mean_ann_ret,worst_total_ret,worst_max_dd,avg_trade_win,avg_trades,spread_lookback,zscore_entry,zscore_exit,spread_min_pts,holding_days_max,capital_fraction,dte_target,regime_lookback,regime_zscore_max,mean_ann_ret_pct,worst_total_ret_pct,worst_max_dd_pct,avg_trade_win_pct
-0.10526824233009749,-0.11248891161915683,-0.0136378732251623,-0.0136378732251623,0.11754937537683885,0.6666666666666666,6.0,60,1.35,0.2,2.0,21,0.2,28,45,1.2,-1.36378732251623,-1.36378732251623,11.754937537683885,66.66666666666666
-0.17857392470747505,-0.1097014925944075,-0.025829900843145293,-0.025829900843145293,0.1816942664464175,0.36363636363636365,11.0,75,1.2,0.4,2.0,14,0.24,28,45,1.5,-2.5829900843145293,-2.5829900843145293,18.16942664464175,36.36363636363637
-0.2811414157236535,-0.25176061170145025,-0.04777326709592611,-0.04777326709592611,0.21378509901661968,0.5555555555555556,9.0,75,1.2,0.3,2.0,21,0.2,14,20,1.2,-4.777326709592611,-4.777326709592611,21.378509901661968,55.55555555555556
-0.3244643134712889,-0.3108269633778243,-0.05738602074705346,-0.05738602074705346,0.15215998410765863,0.375,8.0,75,1.35,0.2,4.0,14,0.2,28,45,1.5,-5.738602074705346,-5.738602074705346,15.215998410765863,37.5
-0.3299753681042273,-0.40812775526020667,-0.03771486209711239,-0.03771486209711239,0.11816592009329985,0.3333333333333333,6.0,75,1.5,0.3,3.0,28,0.12,14,20,1.5,-3.771486209711239,-3.771486209711239,11.816592009329984,33.33333333333333
