score,mean_sharpe,mean_ann_ret,worst_total_ret,worst_max_dd,avg_trade_win,avg_trades,spread_lookback,zscore_entry,zscore_exit,spread_min_pts,holding_days_max,capital_fraction,dte_target,regime_lookback,regime_zscore_max,mean_ann_ret_pct,worst_total_ret_pct,worst_max_dd_pct,avg_trade_win_pct
-0.10526824233009749,-0.11248891161915683,-0.0136378732251623,-0.0136378732251623,0.11754937537683885,0.6666666666666666,6.0,60,1.35,0.2,2.0,21,0.2,28,45,1.2,-1.36378732251623,-1.36378732251623,11.754937537683885,66.66666666666666
-0.17857392470747505,-0.1097014925944075,-0.025829900843145293,-0.025829900843145293,0.1816942664464175,0.36363636363636365,11.0,75,1.2,0.4,2.0,14,0.24,28,45,1.5,-2.5829900843145293,-2.5829900843145293,18.16942664464175,36.36363636363637
-0.2811414157236535,-0.25176061170145025,-0.04777326709592611,-0.04777326709592611,0.21378509901661968,0.5555555555555556,9.0,75,1.2,0.3,2.0,21,0.2,14,20,1.2,-4.777326709592611,-4.777326709592611,21.378509901661968,55.55555555555556
-0.3244643134712889,-0.3108269633778243,-0.05738602074705346,-0.05738602074705346,0.15215998410765863,0.375,8.0,75,1.35,0.2,4.0,14,0.2,28,45,1.5,-5.738602074705346,-5.738602074705346,15.215998410765863,37.5
-0.3299753681042273,-0.40812775526020667,-0.03771486209711239,-0.03771486209711239,0.11816592009329985,0.3333333333333333,6.0,75,1.5,0.3,3.0,28,0.12,14,20,1.5,-3.771486209711239,-3.771486209711239,11.816592009329984,33.33333333333333
-0.34247813987634607,-0.31935117028497706,-0.02896563496274218,-0.02896563496274218,0.11618403371691877,0.4,5.0,60,1.5,0.3,4.0,14,0.12,14,20,1.2,-2.896563496274218,-2.896563496274218,11.618403371691876,40.0
-0.4125495482809098,-0.4216507196569396,-0.06531735155230678,-0.06531735155230678,0.1928179685474889,0.3333333333333333,6.0,75,1.35,0.2,3.0,28,0.2,21,20,1.2,-6.5317351552306775,-6.5317351552306775,19.28179685474889,33.33333333333333
-0.46422604270979295,-0.48175812252859035,-0.07517089257962939,-0.07517089257962939,0.20392202324428077,0.3333333333333333,6.0,60,1.35,0.2,4.0,28,0.2,21,20,1.2,-7.5170892579629385,-7.5170892579629385,20.392202324428077,33.33333333333333
-0.581706866479488,-0.5691852348028252,-0.11371978222415646,-0.11371978222415646,0.24364509694781888,0.42857142857142855,7.0,60,1.2,0.2,3.0,21,0.24,14,20,1.2,-11.371978222415645,-11.371978222415645,24.364509694781887,42.857142857142854
-0.5877607848360444,-0.6020965311666077,-0.11064186709071544,-0.11064186709071544,0.21444902425557966,0.375,8.0,75,1.35,0.2,4.0,14,0.2,14,30,1.5,-11.064186709071544,-11.064186709071544,21.444902425557967,37.5
-0.5955386527489293,-0.7104278618100837,-0.09013949697078383,-0.09013949697078383,0.16184301676544333,0.2857142857142857,7.0,75,1.1,0.4,4.0,28,0.16,21,30,1.2,-9.013949697078383,-9.013949697078383,16.184301676544333,28.57142857142857
-0.6616058168630464,-0.7161257734849532,-0.12024995601188682,-0.12024995601188682,0.21312288371192445,0.375,8.0,60,1.1,0.2,3.0,28,0.2,28,20,1.5,-12.024995601188682,-12.024995601188682,21.312288371192444,37.5
-0.6780277224655469,-0.8537859783437902,-0.09556507865797792,-0.09556507865797792,0.14033597631226147,0.2,10.0,75,1.1,0.3,4.0,21,0.12,21,20,1.5,-9.556507865797792,-9.556507865797792,14.033597631226147,20.0
-0.6813585519821814,-0.9309594494402673,-0.07804474050828591,-0.07804474050828591,0.11338288180813538,0.14285714285714285,7.0,60,1.1,0.2,4.0,21,0.12,28,45,1.2,-7.804474050828592,-7.804474050828592,11.338288180813539,14.285714285714285
-0.7013215069407689,-0.7105348941353864,-0.14065007186773126,-0.14065007186773126,0.24497449533800664,0.42857142857142855,7.0,60,1.2,0.4,3.0,28,0.24,14,30,1.5,-14.065007186773126,-14.065007186773126,24.497449533800662,42.857142857142854
-0.7059180137076608,-0.7065436567331801,-0.14159466744963012,-0.14159466744963012,0.24364509694781888,0.375,8.0,60,1.1,0.4,2.0,21,0.24,14,30,1.2,-14.159466744963012,-14.159466744963012,24.364509694781887,37.5
-0.8361957119199946,-0.8362008537579916,-0.17241601845976717,-0.17241601845976717,0.2058061888546635,0.14285714285714285,7.0,60,1.1,0.2,4.0,14,0.24,14,30,1.2,-17.241601845976717,-17.241601845976717,20.58061888546635,14.285714285714285
-0.8952938124833162,-1.05321316903408,-0.15294265277673957,-0.15294265277673957,0.2192108180042237,0.3333333333333333,9.0,60,1.1,0.4,3.0,28,0.16,14,45,1.5,-15.294265277673958,-15.294265277673958,21.92108180042237,33.33333333333333
-1.0437438112055808,-1.1722670606538863,-0.1950174504920621,-0.1950174504920621,0.23957599218758074,0.2727272727272727,11.0,60,1.1,0.4,3.0,14,0.16,14,45,1.5,-19.50174504920621,-19.50174504920621,23.957599218758073,27.27272727272727
-1.0451024763140833,-1.2282760958600722,-0.17616271916345128,-0.17616271916345128,0.22330642335871198,0.14285714285714285,7.0,60,1.1,0.4,4.0,21,0.16,21,20,1.2,-17.616271916345127,-17.616271916345127,22.330642335871197,14.285714285714285
